lineage	ntaxa	tmrca	ptmrca	source	first_seen	last_seen
163	3	2021.973097888227	2021.9653678525224	nonENG	2021.9945205479453	2022.021917808219
164	1	2022.06301369863	2021.980513215783	nonENG	2022.06301369863	2022.06301369863
165	1	2022.0657534246573	2021.9684802948516	nonENG	2022.0657534246573	2022.0657534246573
166	1	2022.0821917808216	2021.957006595736	nonENG	2022.0821917808216	2022.0821917808216
167	1	2022.0767123287671	2021.9659062001756	nonENG	2022.0767123287671	2022.0767123287671
168	1	2022.0684931506848	2021.9949549929177	nonENG	2022.0684931506848	2022.0684931506848
169	1	2022.0438356164384	2022.015242388556	nonENG	2022.0438356164384	2022.0438356164384
170	1	2022.054794520548	2022.02129058307	nonENG	2022.054794520548	2022.054794520548
171	16	2021.945091356556	2021.9396093157536	nonENG	2021.9479452054795	2022.0767123287671
172	1	2022.0794520547945	2021.9826012411352	nonENG	2022.0794520547945	2022.0794520547945
173	1	2022.0027397260276	2021.972417843725	nonENG	2022.0027397260276	2022.0027397260276
174	1	2022.013698630137	2021.9888362245244	nonENG	2022.013698630137	2022.013698630137
175	2	2022.0215397232848	2021.9931141167808	nonENG	2022.035616438356	2022.054794520548
176	1	2022.0684931506848	2022.0406492058223	nonENG+ENG	2022.0684931506848	2022.0684931506848
177	1	2022.054794520548	2021.977466352276	nonENG	2022.054794520548	2022.054794520548
178	1	2022.0657534246573	2022.053964210146	nonENG	2022.0657534246573	2022.0657534246573
179	1	2022.0328767123287	2021.9871843790904	nonENG	2022.0328767123287	2022.0328767123287
180	3	2022.0185040090144	2022.005555897651	nonENG	2022.041095890411	2022.0684931506848
181	1	2021.9945205479453	2021.9811861044384	nonENG	2021.9945205479453	2021.9945205479453
182	1	2022.035616438356	2021.9998420239176	nonENG	2022.035616438356	2022.035616438356
183	1	2022.0602739726028	2021.9844291246472	nonENG	2022.0602739726028	2022.0602739726028
184	1	2022.0082191780823	2021.9935602786784	nonENG	2022.0082191780823	2022.0082191780823
185	2	2021.9475418676493	2021.9423073321807	nonENG	2021.9561643835616	2021.964383561644
186	3	2021.9479461850517	2021.9469325041323	nonENG	2022.0054794520547	2022.0602739726028
187	3	2021.9947885845213	2021.9672682018308	nonENG	2022.0109589041097	2022.0301369863012
188	2	2021.981053785356	2021.9721549974456	nonENG	2022.013698630137	2022.0657534246573
189	1	2022.0109589041097	2021.947791145663	nonENG	2022.0109589041097	2022.0109589041097
190	1	2021.975342465753	2021.961656115306	nonENG	2021.975342465753	2021.975342465753
191	2	2022.0139960921192	2021.9791967071355	nonENG	2022.0164383561644	2022.0328767123287
192	1	2022.0109589041097	2021.981081482941	nonENG	2022.0109589041097	2022.0109589041097
193	1	2022.0109589041097	2021.9678684905284	nonENG	2022.0109589041097	2022.0109589041097
194	1	2022.0109589041097	2021.9616662316848	nonENG	2022.0109589041097	2022.0109589041097
195	1	2022.0438356164384	2021.9814009707932	nonENG	2022.0438356164384	2022.0438356164384
196	1	2022.041095890411	2021.9740901582445	nonENG	2022.041095890411	2022.041095890411
197	1	2022.0684931506848	2022.027558674544	nonENG	2022.0684931506848	2022.0684931506848
198	1	2022.021917808219	2021.9807480793847	nonENG	2022.021917808219	2022.021917808219
199	1	2022.027397260274	2022.025220488321	nonENG	2022.027397260274	2022.027397260274
200	3	2022.0068554136155	2021.9963327196197	nonENG	2022.0082191780823	2022.0794520547945
201	1	2022.0328767123287	2022.006420982066	nonENG	2022.0328767123287	2022.0328767123287
202	4	2021.9906749909237	2021.985485621642	nonENG	2022.021917808219	2022.0657534246573
203	1	2022.07397260274	2022.068891819764	nonENG	2022.07397260274	2022.07397260274
204	3	2022.000146717441	2021.9942457223665	nonENG	2022.035616438356	2022.0767123287671
205	1	2022.0054794520547	2021.9717514553715	nonENG	2022.0054794520547	2022.0054794520547
206	1	2022.0082191780823	2021.9901222147157	nonENG	2022.0082191780823	2022.0082191780823
207	2	2021.9820652226667	2021.9745352569155	nonENG	2022.0328767123287	2022.0684931506848
208	1	2022.0082191780823	2021.9844796734585	nonENG	2022.0082191780823	2022.0082191780823
209	1	2022.0575342465756	2021.9898621247944	nonENG	2022.0575342465756	2022.0575342465756
210	1	2022.035616438356	2021.986257766418	nonENG	2022.035616438356	2022.035616438356
211	2	2022.0016842611967	2021.971570641952	nonENG	2022.0520547945205	2022.0575342465756
212	1	2022.0575342465756	2021.9677101817992	nonENG	2022.0575342465756	2022.0575342465756
213	2	2021.9471235481287	2021.927079806136	nonENG	2021.958904109589	2022.0109589041097
214	4	2021.9512754689315	2021.9483499581215	nonENG	2021.9561643835616	2022.049315068493
215	1	2022.07397260274	2022.0044612257136	nonENG	2022.07397260274	2022.07397260274
216	3	2021.9835214410828	2021.9772319196911	nonENG	2021.986301369863	2022.0465753424655
217	1	2022.013698630137	2021.9922277623396	nonENG	2022.013698630137	2022.013698630137
218	1	2022.0465753424655	2022.0159937279368	nonENG	2022.0465753424655	2022.0465753424655
219	1	2022.0657534246573	2022.0637889210395	nonENG+ENG	2022.0657534246573	2022.0657534246573
220	1	2022.049315068493	2022.027153095476	nonENG	2022.049315068493	2022.049315068493
221	1	2022.024657534247	2022.008139630819	nonENG	2022.024657534247	2022.024657534247
222	1	2022.07397260274	2021.9835497612837	nonENG	2022.07397260274	2022.07397260274
223	19	2021.9481401246155	2021.944617653569	nonENG	2021.958904109589	2022.0821917808216
224	1	2021.945205479452	2021.938357979263	nonENG	2021.945205479452	2021.945205479452
225	1	2022.0301369863012	2021.9864787946813	nonENG	2022.0301369863012	2022.0301369863012
