code,0_4,5_11,12_15,16_17,18_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85_89,90_999,total
E07000010,5592,8351,4275,2138,6894,5914,6381,6008,5393,6321,7232,7391,6433,6280,6440,4531,3181,2027,1298,102080
E07000011,9963,15132,8026,3815,11455,9899,11637,11544,11230,12370,13498,13029,10911,9620,10307,7225,4822,2790,1712,178985
E07000012,8911,14952,8415,3855,9439,7329,9234,10611,11724,12243,11943,11215,9248,8109,8620,6154,4401,2772,1729,160904
E07000066,12774,17790,9344,4334,13441,11834,13357,12676,12066,12233,13067,12212,10183,8425,8842,6049,4570,2825,1536,187558
E07000067,8457,13276,7590,3415,9989,8249,9444,9620,9062,10703,11703,10916,9171,8427,8858,6079,4042,2495,1595,153091
E07000068,4408,6407,3625,1863,5077,4578,4669,4755,5017,5202,5794,5711,4495,3735,4034,2921,2330,1611,1010,77242
E07000069,4394,7139,4015,2012,6275,4914,4965,4792,4774,5544,6546,6391,5670,5557,6602,4811,3363,1859,901,90524
E07000070,9944,15579,8819,4027,12219,11042,11752,12112,11846,12691,12870,11920,9999,8789,9606,6612,4893,3116,1713,179549
E07000071,11143,17038,8787,3962,21611,14784,13928,12885,12029,12484,12903,11877,9713,8813,9594,6606,4628,2890,1525,197200
E07000072,8193,11153,5988,2836,8888,7799,8313,8418,8497,8822,9819,9725,7802,6527,6754,5088,3663,2388,1502,132175
E07000073,6333,9252,4365,1919,5990,5614,6535,6706,5778,5365,5691,5522,4794,3736,3370,2417,1894,1287,712,87280
E07000074,2986,4852,2885,1367,4171,2993,3144,2995,3472,4416,5385,5228,4863,4325,4791,3265,2290,1248,725,65401
E07000075,4130,6904,4039,1955,5993,4776,4733,4824,5106,6029,6730,6456,5575,4971,5715,4016,2975,1800,900,87627
E07000076,6826,11186,6112,2956,9251,7184,6878,6453,6662,8164,10119,10873,10638,10571,12460,8989,6167,3682,2182,147353
E07000077,5249,8397,4711,2307,5691,4598,5182,5583,6027,6738,7326,6978,5732,4747,4961,3529,2395,1595,1013,92759
E07000095,6195,9036,4811,2203,7071,5843,6489,6669,6365,6395,7179,6580,5393,4232,4525,3424,2679,1640,863,97592
E07000096,9863,14625,7622,3455,9844,8676,10471,11232,10971,10936,10798,10721,9093,7375,7013,4979,3706,2522,1555,155457
E07000242,8540,13517,7876,3689,9647,8141,9072,9515,10604,11552,11800,11241,8913,7230,7463,5215,3894,2478,1399,151786
E07000098,6632,10301,5617,2649,7065,5939,6191,7029,7142,7189,7414,7271,5680,4836,5076,3613,2803,1866,1158,105471
E07000099,7711,12108,6343,2973,7914,7276,8270,9234,9511,9813,9657,9270,7527,6452,6754,4939,3728,2568,1415,133463
E07000240,9162,15431,8686,3831,8672,7402,8610,10023,11713,11801,10967,9720,7679,6426,6613,4725,3789,2483,1584,149317
E07000243,5744,8359,4263,1989,6307,5854,6900,6660,5765,5412,6184,6083,4914,3694,3440,2456,1978,1350,752,88104
E07000102,5264,8871,5035,2325,6086,5022,5290,6326,6786,6935,6931,6699,5174,4507,4403,3240,2437,1654,981,93966
E07000103,6830,9803,4969,2316,6659,6265,7690,8424,7686,6870,6370,5455,4428,3512,3199,2373,1861,1206,707,96623
E07000241,6923,10901,5611,2541,15694,10223,8730,8379,7706,7188,7335,7399,6124,4840,4683,3492,2804,2008,1312,123893
E07000143,7124,11300,6062,2678,9166,7639,8306,7931,7238,8558,9860,10388,9262,8886,9855,7025,4974,3027,1976,141255
E07000144,5976,9945,5707,2720,7902,6361,7085,7310,7464,8909,9903,9876,8680,8152,9343,6789,4961,3103,1745,131931
E07000145,5186,8005,4445,2123,7174,5296,5634,5526,4961,5716,6856,7180,6544,6335,6819,4931,3212,1993,1262,99198
E07000146,7607,12375,6583,3029,9036,7327,8305,8275,7587,8995,10594,11289,10316,9938,11028,8069,5682,3382,1828,151245
E07000147,3805,6670,3857,1835,5689,4368,4630,4761,4464,5751,7203,8226,8658,8611,9763,6870,4880,3192,1934,105167
E07000148,7385,10736,5598,2414,24041,13636,10890,9517,7544,7632,7938,7298,6179,5616,5494,4039,2961,1914,1345,142177
E07000149,7118,11924,6824,3151,8565,7048,7637,8459,8555,9593,10410,10256,9117,8515,9427,6931,4824,2975,1737,143066
E07000200,4140,6954,4378,2126,5685,4203,4457,4647,4888,6135,7132,7196,6245,6018,6841,4933,3341,2096,1320,92735
E07000244,11083,19149,11484,5453,15397,11738,12179,12041,12748,15444,18045,18675,17570,17036,19158,13562,9664,6167,3780,250373
E07000202,8902,12459,6494,3063,10222,9611,10260,9921,8433,8682,8917,8478,7358,6457,5946,4144,3205,2065,1362,135979
E07000203,4490,7986,4840,2338,6464,5314,5760,5765,5652,6825,8075,8151,7158,6951,7343,5099,3418,2043,1185,104857
E07000245,10468,15579,7837,3640,12057,11393,12177,11559,9661,10354,12152,11972,10089,9375,10483,7532,5399,3304,2271,177302
E09000007,14174,22693,11675,5558,31264,30455,28810,22889,19221,17555,16464,13770,11389,9325,8814,6309,4383,2724,2044,279516
E09000001,474,843,362,146,1276,1445,795,680,538,663,764,672,549,508,474,300,217,116,116,10938
E09000012,19708,25248,13015,5857,21511,27972,36633,31492,22554,16819,15146,12810,9860,7306,5652,3798,2803,1670,1087,280941
E09000013,10930,15497,7517,3167,18073,18177,17166,15256,13808,13401,11905,10282,7678,6167,5428,3744,2735,1612,1001,183544
E09000014,17426,23546,12512,5974,21710,21722,23598,24600,22272,19494,17856,15470,11559,9029,7435,4966,3856,2237,1095,266357
E09000019,12953,17381,8833,4065,32934,36052,29533,21630,15922,13398,13154,11599,8817,6584,5839,3909,2789,1726,997,248115
E09000020,8064,12094,6115,2833,12915,11341,11865,12466,12981,11224,10781,10273,8316,6973,6920,4954,3408,1921,1420,156864
E09000022,17904,24849,12969,5917,27313,41109,41024,31448,22759,19473,18895,17584,12519,8883,6914,4697,3824,2233,1499,321813
E09000023,20877,27530,13897,5972,23359,26656,31045,29598,25521,21241,19446,17790,13023,9055,7245,5045,4045,2457,1507,305309
E09000025,26893,34614,16924,8083,34308,35424,39825,35328,25304,20980,19839,16521,13259,9398,6993,4717,3622,2042,1192,355266
E09000028,19471,27298,13296,5841,28106,35306,38521,29876,23151,20006,19812,17794,13601,8946,7043,4851,3612,2081,1405,320017
E09000030,21883,30125,14982,7059,35847,40028,43031,34436,25625,19266,15734,12391,9791,7552,5381,3496,2687,1697,958,331969
E09000032,20980,27046,11846,5114,26008,40510,39392,35379,25160,20650,18562,15289,11799,9244,8383,5753,4515,2529,1576,329735
E09000033,13634,21518,10451,5098,25150,26496,25816,25007,21063,18167,17202,14531,11815,10060,8575,6010,4565,2827,1863,269848
E09000002,18910,26226,13415,5541,17719,15880,17683,17445,15380,14293,12735,10845,8228,6062,4823,3399,2670,1635,1218,214107
E09000003,26103,38577,20633,9376,28834,27693,31639,31618,30051,27701,26443,23093,19076,15723,14752,10781,7854,5408,3652,399007
E09000004,15633,23260,12729,5802,18508,16546,17844,17878,16911,15959,17458,16450,13290,10403,10302,7479,6279,3964,2606,249301
E09000005,23790,31135,15489,7467,28837,24934,26707,26720,23012,20965,20381,19311,16982,12878,10344,7289,5833,3576,2103,327753
E09000006,20708,30757,16393,7605,20048,18255,21988,24978,25379,23975,24423,22410,17718,14464,15467,10953,8393,5577,3261,332752
E09000008,27372,37644,20821,9472,27356,24890,29584,29780,28123,25883,26949,26229,20412,16035,13652,9588,7427,4655,2691,388563
E09000009,23652,33568,17239,7747,25383,23266,26542,26697,25887,24490,23208,20350,16651,13977,11292,7928,6340,3857,2267,340341
E09000010,23300,34123,18497,8466,25183,23442,25011,25481,23299,22030,22827,20890,16201,12473,10997,8518,6520,4054,2275,333587
E09000011,21016,28302,14163,6013,23094,23199,27339,25447,24181,19602,18081,15706,12198,9187,8128,5417,4019,2393,1549,289034
