lineage	ntaxa	tmrca	ptmrca	source	first_seen	last_seen
128	2	2022.0170174587925	2022.004748313024	nonENG	2022.0383561643837	2022.0465753424655
129	2	2022.057361800085	2022.003597989284	nonENG	2022.0575342465756	2022.0575342465756
130	1	2022.041095890411	2022.0045123120265	nonENG	2022.041095890411	2022.041095890411
131	1	2022.0109589041097	2021.9868760339657	nonENG	2022.0109589041097	2022.0109589041097
132	1	2022.0794520547945	2022.0284472531696	nonENG	2022.0794520547945	2022.0794520547945
133	1	2022.0109589041097	2021.9951154155524	nonENG	2022.0109589041097	2022.0109589041097
134	1	2022.035616438356	2022.0194341950944	nonENG	2022.035616438356	2022.035616438356
135	3	2022.008359657436	2022.0041858259856	nonENG	2022.0301369863012	2022.0602739726028
136	2	2022.0499574032312	2021.9847192075465	nonENG	2022.054794520548	2022.054794520548
137	1	2022.07397260274	2021.9847192075465	nonENG	2022.07397260274	2022.07397260274
138	3	2021.9875487192344	2021.9649383286985	nonENG	2022.0328767123287	2022.0438356164384
139	1	2022.07397260274	2021.9835943490573	nonENG	2022.07397260274	2022.07397260274
140	14	2021.960356714715	2021.946702846324	nonENG	2022.0109589041097	2022.0767123287671
141	1	2022.0794520547945	2022.0210971067104	nonENG	2022.0794520547945	2022.0794520547945
142	1	2022.0465753424655	2022.002088061991	nonENG	2022.0465753424655	2022.0465753424655
143	6	2022.0024300353448	2021.998531301096	nonENG	2022.013698630137	2022.0794520547945
144	3	2021.9886455218527	2021.9800527071595	nonENG	2022.024657534247	2022.049315068493
145	4	2021.985931905201	2021.9837462113428	nonENG	2022.0575342465756	2022.0794520547945
146	1	2022.0465753424655	2022.005067905477	nonENG	2022.0465753424655	2022.0465753424655
147	100	2021.946073424091	2021.9429361354917	nonENG	2021.958904109589	2022.0821917808216
148	4	2021.982622433288	2021.9776687110248	nonENG	2021.986301369863	2022.0657534246573
149	1	2022.0821917808216	2021.9894516516783	nonENG+ENG	2022.0821917808216	2022.0821917808216
150	2	2022.0235516878276	2022.0012818548175	nonENG	2022.027397260274	2022.0328767123287
151	2	2022.0237467602003	2021.9822721325263	nonENG	2022.027397260274	2022.0794520547945
152	1	2022.0328767123287	2021.9858016326875	nonENG	2022.0328767123287	2022.0328767123287
153	1	2022.041095890411	2021.9859398634765	nonENG	2022.041095890411	2022.041095890411
154	1	2022.06301369863	2022.0069952647907	nonENG+ENG	2022.06301369863	2022.06301369863
155	1	2022.0602739726028	2022.013979874743	nonENG	2022.0602739726028	2022.0602739726028
156	1	2022.07397260274	2021.983421435311	nonENG	2022.07397260274	2022.07397260274
